Artista,Cancion,Album,Genero,Letra,letra_procesada
José José,El Amor Acaba,Secretos,Pop Latino,"Porque el alma se vacía
como el cántaro en la nube
¡el amor acaba!
porque suave se desliza
como sombra la caricia
¡el amor acaba!
porque el sentimiento es humo
y ceniza la palabra
¡el amor acaba!
porque el corazón de darse llega
un día que se parte
¡el amor acaba!
porque se vuelven cadenas
lo que fueron cintas blancas
¡el amor acaba!
porque llega a ser rutina
la caricia mas divina
¡el amor acaba!
porque somos como ríos
cada instante nueva el agua
¡el amor acaba!
porque mueren los deseos
por la carne y por el beso
¡el amor acaba!
-coro-
porque el tiempo tiene grietas
porque grietas tiene el alma
porque nada es para siempre
y hasta la belleza cansa
¡el amor acaba!
porque el sentimiento es humo
(se repite.. )",alma vacía cántaro nube amor acaba suave desliza sombra caricia amor acaba sentimiento humo ceniza palabra amor acaba corazón darse llega día parte amor acaba vuelven cadenas fueron cintas blancas amor acaba llega rutina caricia mas divina amor acaba somos ríos instante nueva agua amor acaba mueren deseos carne beso amor acaba coro tiempo grietas grietas alma belleza cansa amor acaba sentimiento humo repite
José José,Volcán,El Príncipe de la Canción,Baladas y Boleros,"Besabas como nadie se lo imagina
Igual que una mar en calma
Igual que un golpe de mar.
Y siempre te quedabas a ver el alba
Y a ser tu mi medicina, para olvidar.
Ya se que avisabas hacia tiempo
Amor ten mucho cuidado, amor que te dolera.
Tu no debes quererme yo soy pecado,
Hay dias en mi pasado, que volveran.

Yo que fui tormenta, yo que fui tornado,
Yo que fui volcan, soy un volcan apagado.
Porque tu volaste de mi nido,
Porque tu volaste de mi lado,
Yo que fui tormenta, yo que fui tornado,
Yo que fui volcan, soy un volcan apagado.

Besabas como nadie se lo imagina
Igual que una mar en calma
Igual que un golpe de mar.
Y siempre te quedabas a ver el alba
Y a ser tu mi medicina, para olvidar.

Hiciste que los dias se hicieran noches,
A veces era tu cuerpo, a veces era algo mas.
Y yo era un pobre hombre pero a tu lado,
Senti que era afortunado como el que mas.

Yo que fui tormenta...",besabas nadie imagina igual mar calma igual golpe mar quedabas ver alba medicina olvidar avisabas tiempo amor ten mucho cuidado amor dolera debes quererme soy pecado dias pasado volveran fui tormenta fui tornado fui volcan soy volcan apagado volaste nido volaste lado fui tormenta fui tornado fui volcan soy volcan apagado besabas nadie imagina igual mar calma igual golpe mar quedabas ver alba medicina olvidar hiciste dias hicieran noches veces cuerpo veces mas pobre hombre lado senti afortunado mas fui tormenta
José José,Lágrimas,Secretos,Pop Latino,"Yo sin ti undirme y me estremesco
si veo caer tus lagrimas
yo me arrepiento del mal que aya hecho
si veo caer tus lagrimas

yo te consuelo,te abrazo y te beso
si veo caer tus lagrimas
y no quisiera ya nunca volver a enjugar tus lagrimas

lagrimas
el lenguaje mudo de tu pena
lagrimas
la callada voz de tu tristesa
lagrimas
la expresion mojada de tu alma
lagrimas
la visible muestra de que me amas
lagrimas
de pasiones ondas y de heridas
lagrimas
de dolor profundo y de alegrias
lagrimas
la palabra fiel de tu amargura
lagrimas
la verdad final que tu no ocultas
lagrimas

yo sin ti undirme y me estremesco
si veo caer tus lagrimas
yo me arrepiento del mal que aya hecho
si veo caer tus lagrimas

yo te consuelo,te abrazo y te beso
si veo caer tus lagrimas
y no quisiera ya nunca volver a enjugar tus lagrimas

lagrimas
el lenguaje mudo de tu pena
lagrimas
la callada voz de tu tristesa
lagrimas
la expresion mojada de tu alma
lagrimas
la visible muestra de que me amas
lagrimas
de pasiones ondas y de heridas
lagrimas
de dolor profundo y de alegrias
lagrimas
la palabra fiel de tu amargura
lagrimas
la verdad final que tu no ocultas
lagrimas(2x)",undirme estremesco veo caer lagrimas arrepiento mal aya hecho veo caer lagrimas consuelo abrazo beso veo caer lagrimas quisiera volver enjugar lagrimas lagrimas lenguaje mudo pena lagrimas callada voz tristesa lagrimas expresion mojada alma lagrimas visible muestra amas lagrimas pasiones ondas heridas lagrimas dolor profundo alegrias lagrimas palabra fiel amargura lagrimas verdad final ocultas lagrimas undirme estremesco veo caer lagrimas arrepiento mal aya hecho veo caer lagrimas consuelo abrazo beso veo caer lagrimas quisiera volver enjugar lagrimas lagrimas lenguaje mudo pena lagrimas callada voz tristesa lagrimas expresion mojada alma lagrimas visible muestra amas lagrimas pasiones ondas heridas lagrimas dolor profundo alegrias lagrimas palabra fiel amargura lagrimas verdad final ocultas lagrimas
José José,Amar y Querer,Te Queremos Mamá,Pop Latino,"Casi todos sabemos querer
Pero pocos sabemos amar
Y es que amar y querer no es igual
Amar es sufrir, querer es gozar

El que ama pretende servir
El que ama su vida la da
Y el que quiere pretende vivir
Y nunca sufrir, y nunca sufrir

El que ama no puede pensar
Todo lo da, todo lo da
El que quiere pretende olvidar
Y nunca llorar y nunca llorar

El querer pronto puede acabar
El amor no conoce el final
Es que todos sabemos querer
Pero pocos sabemos amar
Casi todos sabemos querer
Pero pocos sabemos amar
Y es que amar y querer no es igual
Amar es sufrir, querer es gozar

El que ama pretende servir
El que ama su vida la da
Y el que quiere pretende vivir
Y nunca sufrir, y nunca sufrir

El que ama no puede pensar
Todo lo da, todo lo da
El que quiere pretende olvidar
Y nunca llorar y nunca llorar

El querer pronto puede acabar
El amor no conoce el final
Es que todos sabemos querer
Pero pocos sabemos amarEl amar es la cielo y la luz
El amar es total plenitud
Es el mar que no tiene final
Es la gloria y la paz, es la gloria y la paz

El querer es la carne y la flor

Es buscar el obscuro rincón
Es morder, arañar y besar
Es deseo fugaz, es deseo fugaz

El que ama no puede pensar
Todo lo da, todo lo da
El que quiere pretende olvidar
Y nunca llorar y nunca llorar

El querer pronto puede acabar
El amor no conoce el final
Es que todos sabemos querer
Pero pocos sabemos amar

El que ama no puede pensar
Todo lo da, todo lo da
El que quiere pretende olvidar
Y nunca llorar y nunca llorar

El querer pronto puede acabar
El amor no conoce el final
Es que todos sabemos querer
Pero pocos sabemos amar",casi sabemos querer pocos sabemos amar amar querer igual amar sufrir querer gozar ama pretende servir ama vida quiere pretende vivir sufrir sufrir ama pensar quiere pretende olvidar llorar llorar querer pronto acabar amor conoce final sabemos querer pocos sabemos amar casi sabemos querer pocos sabemos amar amar querer igual amar sufrir querer gozar ama pretende servir ama vida quiere pretende vivir sufrir sufrir ama pensar quiere pretende olvidar llorar llorar querer pronto acabar amor conoce final sabemos querer pocos sabemos amarel amar cielo luz amar total plenitud mar final gloria paz gloria paz querer carne flor buscar obscuro rincón morder arañar besar deseo fugaz deseo fugaz ama pensar quiere pretende olvidar llorar llorar querer pronto acabar amor conoce final sabemos querer pocos sabemos amar ama pensar quiere pretende olvidar llorar llorar querer pronto acabar amor conoce final sabemos querer pocos sabemos amar
Luis Miguel,Ahora Te Puedes Marchar,Soy Como Quiero Ser,Latin,"Si tu me hubieras dicho siempre la verdad.
Si hubieras respondido cuando te llamé.
Si hubieras amado cuando te amé.
Serias en mis sueños la mejor mujer
Si no supiste amar, ahora te puedes marchar.

Si tu superas lo que yo sufrí por ti
Teniendo que olvidarte sin saber por qué
Y ahora me llamas, me quieres ver.
Me juras que has cambiado y piensas en volver.
Si no supiste amar ahora te puedes marchar.

Aléjate de mi, no hay nada más qué hablar
Contigo yo perdí, ya tengo con quién ganar.

Ya se que no hubo nadie
Que te diera lo que yo te di
Que nadie te ha cuidado come te cuidé.
Por eso comprendo que estás aqui
Pero ha pasado el tiempo y yo también cambié
Si no supiste amar, ahora te puedes marchar.
Si no supiste amar, ahora te puedes marchar.",hubieras dicho verdad hubieras respondido llamé hubieras amado amé serias sueños mejor mujer supiste amar puedes marchar superas sufrí teniendo olvidarte saber llamas quieres ver juras cambiado piensas volver supiste amar puedes marchar aléjate hablar contigo perdí ganar hubo nadie diera nadie cuidado come cuidé eso comprendo aqui pasado tiempo cambié supiste amar puedes marchar supiste amar puedes marchar
Luis Miguel,La Mentira,Romance,Pop Latino,"Se te olvida
Que me quieres a pesar de lo que dices
Pues llevamos en el alma cicatrices
Imposibles de borrar

Se te olvida
Que hasta puedo hacerte mal si me decido
Pues tu amor lo tengo muy comprometido
Pero a fuerzas no será

Y hoy resulta
Que no soy de la estatura de tu vida
Y al dejarme casi, casi, se te olvida
Que hay un pacto entre los dos

Por mi parte
Te devuelvo tu promesa de adorarme
Ni siquiera sientas pena por dejarme
Que ese pacto
No es con Dios",olvida quieres pesar dices llevamos alma cicatrices imposibles borrar olvida puedo hacerte mal decido amor comprometido fuerzas será hoy resulta soy estatura vida dejarme casi casi olvida pacto dos parte devuelvo promesa adorarme siquiera sientas pena dejarme pacto dios
Luis Miguel,La Incondicional,Busca una Mujer,Latin,"Tú, la misma siempre tú
Amistad, ternura qué sé yo
Tú, mi sombra has sido tú
La historia de un amor
Que no fue nada

Tú, mi eternamente tú
Un hotel, tu cuerpo y un adios
Tú, mi oculta amiga tú
Un golpe de pasión
Amor de madrugada

No existe un lazo entre tú y yo
Nada de amores
Nada de nada

Tú, la misma de ayer
La incondicional
La que no espera nada
Tú, la misma de ayer
La que no supe amar
No sé por qué

Tú, intensamente tú
Soledad, cariño yo qué sé
Tú, mis horas bajas tú
Un cuerpo de mujer
Un par de rosas blancas

No existe un lazo entre tú y yo
No hubo promesas
Ni juramentos
Nada de nada",amistad ternura sombra sido historia amor eternamente hotel cuerpo adios oculta amiga golpe pasión amor madrugada existe lazo amores ayer incondicional espera ayer supe amar intensamente soledad cariño horas bajas cuerpo mujer par rosas blancas existe lazo hubo promesas juramentos
Luis Miguel,Sabor a Mí,Romances,Latin,"Tanto tiempo disfrutamos de este amor
nuestras almas se acercaron tanto así
que yo guardo tu sabor
pero tu llevas también
sabor a mi.
Si negaras mi presencia en tu vivír
bastaría con abrazarte y conversar
tanta vida yo te dí
que por fuerza tienes ya
sabor a mi.
No pretendo ser tu dueño
no soy nada yo no tengo vanidad
de mi vida doy lo bueno
soy tan pobre, que otra cosa puedo dar?
Pasarán más de mil años, muchos más
yo no se si tenga amor la eternidad
pero allá, tal como aquí,
en la boca llevarás
sabor a mi.
No pretendo ser tu dueño
no soy nada yo no tengo vanidad
de mi vida doy lo bueno
soy tan pobre, que otra cosa puedo dar?
Pasarán más de mil años, muchos más
yo no se si tenga amor la eternidad
pero allá, tal como aquí,
en la boca llevarás
sabor a mi.",tiempo disfrutamos amor nuestras almas acercaron guardo sabor llevas sabor negaras presencia vivír bastaría abrazarte conversar tanta vida fuerza tienes sabor pretendo dueño soy vanidad vida doy bueno soy pobre cosa puedo dar pasarán mil años muchos tenga amor eternidad allá tal boca llevarás sabor pretendo dueño soy vanidad vida doy bueno soy pobre cosa puedo dar pasarán mil años muchos tenga amor eternidad allá tal boca llevarás sabor
Luis Miguel,No Sé Tú,Romance,Pop Latino,"NO SÉ TÚ

No sé tú
Pero yo no dejo de pensar
Ni un minuto me logro despojar
De tus besos, tus abrazos,
De lo bien que la pasamos la otra vez

No sé tú
Pero yo quisiera repetir
El cansancio que mi hiciste sentir
Con la noche que me diste
Y el momento que con besos construiste

No sé tú
Pero yo te he comenzado a extrañar
En mi almohada no te dejo de pensar
Con las gentes, mis amigos,
En las calles, sin testigos

No sé tú
Pero yo te busco en cada amanecer
Mis deseos no los puedo contener
En las noches cuando duermo
Sí de insomnio, yo me enfermo
Me haces falta, mucha falta
No sé tú

Armando Manzanero

deutsche Übersetzung: http://mitglied.lycos.de/fanclubLMgenial/ro1.html",dejo pensar minuto logro despojar besos abrazos pasamos quisiera repetir cansancio hiciste sentir noche diste momento besos construiste comenzado extrañar almohada dejo pensar gentes amigos calles testigos busco amanecer deseos puedo contener noches duermo insomnio enfermo haces falta mucha falta armando manzanero deutsche übersetzung http mitglied lycos fanclublmgenial html
Luis Miguel,Tengo Todo Excepto a Ti,20 Años,Pop Latino,"Se ve que no te voy, se ve que no me vas.
Se ve que en realidad sólo me quieres como a un amigo más, como algo de siempre.
Ya ves, me equivoqué, creí que era feliz, pensaba que yo lo tenía todo,
tantos amigos, caprichos, amores locos.
Tengo todo excepto a tí y el sabor de tu piel.
Bella como el sol de abril, qué absurdo el día en que soñé que eras para mí.
Tengo todo excepto a tí y la humedad de tu cuerpo.
Tú me has hecho, porque sí, seguir las huellas de tu olor, loco por tu amor.
Se ve que no te voy, se e que no me vas pues tengo todo menos tu mirada,
y sin tus ojos, mis ojos ya no ven nada...
...Me sobra juventud, me muero por vivir, pero me faltas tú...
...por tu amor, sin tu amor...",voy vas realidad sólo quieres amigo ves equivoqué creí feliz pensaba tantos amigos caprichos amores locos excepto sabor piel bella sol abril absurdo día soñé eras excepto humedad cuerpo hecho seguir huellas olor loco amor voy vas menos mirada ojos ojos ven sobra juventud muero vivir faltas amor amor
